# n Search_UA Search_SA Search_SU Search_SS Search_DU Search_DS Insert_UA Insert_SA Insert_SU Insert_SS Insert_DU Insert_DS Delete_UA Delete_SA Delete_SU Delete_SS Delete_DU Delete_DS Min_UA Min_SA Min_SU Min_SS Min_DU Min_DS Max_UA Max_SA Max_SU Max_SS Max_DU Max_DS Pred_UA Pred_SA Pred_SU Pred_SS Pred_DU Pred_DS Succ_UA Succ_SA Succ_SU Succ_SS Succ_DU Succ_DS
350 350 9 350 350 350 350 1 350 1 350 1 350 350 350 350 350 350 350 350 1 350 1 350 1 350 1 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350
360 360 9 360 360 360 360 1 360 1 360 1 360 360 360 360 360 360 360 360 1 360 1 360 1 360 1 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360
370 370 9 370 370 370 370 1 370 1 370 1 370 370 370 370 370 370 370 370 1 370 1 370 1 370 1 370 370 370 370 370 370 370 370 370 370 370 370 370 370 370 370
380 380 9 380 380 380 380 1 380 1 380 1 380 380 380 380 380 380 380 380 1 380 1 380 1 380 1 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380
390 390 9 390 390 390 390 1 390 1 390 1 390 390 390 390 390 390 390 390 1 390 1 390 1 390 1 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390
400 400 9 400 400 400 400 1 400 1 400 1 400 400 400 400 400 400 400 400 1 400 1 400 1 400 1 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400
410 410 9 410 410 410 410 1 410 1 410 1 410 410 410 410 410 410 410 410 1 410 1 410 1 410 1 410 410 410 410 410 410 410 410 410 410 410 410 410 410 410 410
420 420 9 420 420 420 420 1 420 1 420 1 420 420 420 420 420 420 420 420 1 420 1 420 1 420 1 420 420 420 420 420 420 420 420 420 420 420 420 420 420 420 420
430 430 9 430 430 430 430 1 430 1 430 1 430 430 430 430 430 430 430 430 1 430 1 430 1 430 1 430 430 430 430 430 430 430 430 430 430 430 430 430 430 430 430
440 440 9 440 440 440 440 1 440 1 440 1 440 440 440 440 440 440 440 440 1 440 1 440 1 440 1 440 440 440 440 440 440 440 440 440 440 440 440 440 440 440 440
450 450 9 450 450 450 450 1 450 1 450 1 450 450 450 450 450 450 450 450 1 450 1 450 1 450 1 450 450 450 450 450 450 450 450 450 450 450 450 450 450 450 450
460 460 9 460 460 460 460 1 460 1 460 1 460 460 460 460 460 460 460 460 1 460 1 460 1 460 1 460 460 460 460 460 460 460 460 460 460 460 460 460 460 460 460
470 470 9 470 470 470 470 1 470 1 470 1 470 470 470 470 470 470 470 470 1 470 1 470 1 470 1 470 470 470 470 470 470 470 470 470 470 470 470 470 470 470 470
480 480 9 480 480 480 480 1 480 1 480 1 480 480 480 480 480 480 480 480 1 480 1 480 1 480 1 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480 480
490 490 9 490 490 490 490 1 490 1 490 1 490 490 490 490 490 490 490 490 1 490 1 490 1 490 1 490 490 490 490 490 490 490 490 490 490 490 490 490 490 490 490
500 500 9 500 500 500 500 1 500 1 500 1 500 500 500 500 500 500 500 500 1 500 1 500 1 500 1 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500
510 510 9 510 510 510 510 1 510 1 510 1 510 510 510 510 510 510 510 510 1 510 1 510 1 510 1 510 510 510 510 510 510 510 510 510 510 510 510 510 510 510 510
520 520 10 520 520 520 520 1 520 1 520 1 520 520 520 520 520 520 520 520 1 520 1 520 1 520 1 520 520 520 520 520 520 520 520 520 520 520 520 520 520 520 520
530 530 10 530 530 530 530 1 530 1 530 1 530 530 530 530 530 530 530 530 1 530 1 530 1 530 1 530 530 530 530 530 530 530 530 530 530 530 530 530 530 530 530
540 540 10 540 540 540 540 1 540 1 540 1 540 540 540 540 540 540 540 540 1 540 1 540 1 540 1 540 540 540 540 540 540 540 540 540 540 540 540 540 540 540 540
550 550 10 550 550 550 550 1 550 1 550 1 550 550 550 550 550 550 550 550 1 550 1 550 1 550 1 550 550 550 550 550 550 550 550 550 550 550 550 550 550 550 550
560 560 10 560 560 560 560 1 560 1 560 1 560 560 560 560 560 560 560 560 1 560 1 560 1 560 1 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560
570 570 10 570 570 570 570 1 570 1 570 1 570 570 570 570 570 570 570 570 1 570 1 570 1 570 1 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570
580 580 10 580 580 580 580 1 580 1 580 1 580 580 580 580 580 580 580 580 1 580 1 580 1 580 1 580 580 580 580 580 580 580 580 580 580 580 580 580 580 580 580
590 590 10 590 590 590 590 1 590 1 590 1 590 590 590 590 590 590 590 590 1 590 1 590 1 590 1 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590 590
600 600 10 600 600 600 600 1 600 1 600 1 600 600 600 600 600 600 600 600 1 600 1 600 1 600 1 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600
610 610 10 610 610 610 610 1 610 1 610 1 610 610 610 610 610 610 610 610 1 610 1 610 1 610 1 610 610 610 610 610 610 610 610 610 610 610 610 610 610 610 610
620 620 10 620 620 620 620 1 620 1 620 1 620 620 620 620 620 620 620 620 1 620 1 620 1 620 1 620 620 620 620 620 620 620 620 620 620 620 620 620 620 620 620
630 630 10 630 630 630 630 1 630 1 630 1 630 630 630 630 630 630 630 630 1 630 1 630 1 630 1 630 630 630 630 630 630 630 630 630 630 630 630 630 630 630 630
640 640 10 640 640 640 640 1 640 1 640 1 640 640 640 640 640 640 640 640 1 640 1 640 1 640 1 640 640 640 640 640 640 640 640 640 640 640 640 640 640 640 640
650 650 10 650 650 650 650 1 650 1 650 1 650 650 650 650 650 650 650 650 1 650 1 650 1 650 1 650 650 650 650 650 650 650 650 650 650 650 650 650 650 650 650
660 660 10 660 660 660 660 1 660 1 660 1 660 660 660 660 660 660 660 660 1 660 1 660 1 660 1 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660
670 670 10 670 670 670 670 1 670 1 670 1 670 670 670 670 670 670 670 670 1 670 1 670 1 670 1 670 670 670 670 670 670 670 670 670 670 670 670 670 670 670 670
680 680 10 680 680 680 680 1 680 1 680 1 680 680 680 680 680 680 680 680 1 680 1 680 1 680 1 680 680 680 680 680 680 680 680 680 680 680 680 680 680 680 680
690 690 10 690 690 690 690 1 690 1 690 1 690 690 690 690 690 690 690 690 1 690 1 690 1 690 1 690 690 690 690 690 690 690 690 690 690 690 690 690 690 690 690
700 700 10 700 700 700 700 1 700 1 700 1 700 700 700 700 700 700 700 700 1 700 1 700 1 700 1 700 700 700 700 700 700 700 700 700 700 700 700 700 700 700 700
710 710 10 710 710 710 710 1 710 1 710 1 710 710 710 710 710 710 710 710 1 710 1 710 1 710 1 710 710 710 710 710 710 710 710 710 710 710 710 710 710 710 710
720 720 10 720 720 720 720 1 720 1 720 1 720 720 720 720 720 720 720 720 1 720 1 720 1 720 1 720 720 720 720 720 720 720 720 720 720 720 720 720 720 720 720
730 730 10 730 730 730 730 1 730 1 730 1 730 730 730 730 730 730 730 730 1 730 1 730 1 730 1 730 730 730 730 730 730 730 730 730 730 730 730 730 730 730 730
740 740 10 740 740 740 740 1 740 1 740 1 740 740 740 740 740 740 740 740 1 740 1 740 1 740 1 740 740 740 740 740 740 740 740 740 740 740 740 740 740 740 740
750 750 10 750 750 750 750 1 750 1 750 1 750 750 750 750 750 750 750 750 1 750 1 750 1 750 1 750 750 750 750 750 750 750 750 750 750 750 750 750 750 750 750
760 760 10 760 760 760 760 1 760 1 760 1 760 760 760 760 760 760 760 760 1 760 1 760 1 760 1 760 760 760 760 760 760 760 760 760 760 760 760 760 760 760 760
770 770 10 770 770 770 770 1 770 1 770 1 770 770 770 770 770 770 770 770 1 770 1 770 1 770 1 770 770 770 770 770 770 770 770 770 770 770 770 770 770 770 770
780 780 10 780 780 780 780 1 780 1 780 1 780 780 780 780 780 780 780 780 1 780 1 780 1 780 1 780 780 780 780 780 780 780 780 780 780 780 780 780 780 780 780
790 790 10 790 790 790 790 1 790 1 790 1 790 790 790 790 790 790 790 790 1 790 1 790 1 790 1 790 790 790 790 790 790 790 790 790 790 790 790 790 790 790 790
800 800 10 800 800 800 800 1 800 1 800 1 800 800 800 800 800 800 800 800 1 800 1 800 1 800 1 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800
810 810 10 810 810 810 810 1 810 1 810 1 810 810 810 810 810 810 810 810 1 810 1 810 1 810 1 810 810 810 810 810 810 810 810 810 810 810 810 810 810 810 810
820 820 10 820 820 820 820 1 820 1 820 1 820 820 820 820 820 820 820 820 1 820 1 820 1 820 1 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820 820
830 830 10 830 830 830 830 1 830 1 830 1 830 830 830 830 830 830 830 830 1 830 1 830 1 830 1 830 830 830 830 830 830 830 830 830 830 830 830 830 830 830 830
840 840 10 840 840 840 840 1 840 1 840 1 840 840 840 840 840 840 840 840 1 840 1 840 1 840 1 840 840 840 840 840 840 840 840 840 840 840 840 840 840 840 840
850 850 10 850 850 850 850 1 850 1 850 1 850 850 850 850 850 850 850 850 1 850 1 850 1 850 1 850 850 850 850 850 850 850 850 850 850 850 850 850 850 850 850
860 860 10 860 860 860 860 1 860 1 860 1 860 860 860 860 860 860 860 860 1 860 1 860 1 860 1 860 860 860 860 860 860 860 860 860 860 860 860 860 860 860 860
870 870 10 870 870 870 870 1 870 1 870 1 870 870 870 870 870 870 870 870 1 870 1 870 1 870 1 870 870 870 870 870 870 870 870 870 870 870 870 870 870 870 870
880 880 10 880 880 880 880 1 880 1 880 1 880 880 880 880 880 880 880 880 1 880 1 880 1 880 1 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880
890 890 10 890 890 890 890 1 890 1 890 1 890 890 890 890 890 890 890 890 1 890 1 890 1 890 1 890 890 890 890 890 890 890 890 890 890 890 890 890 890 890 890
900 900 10 900 900 900 900 1 900 1 900 1 900 900 900 900 900 900 900 900 1 900 1 900 1 900 1 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900
910 910 10 910 910 910 910 1 910 1 910 1 910 910 910 910 910 910 910 910 1 910 1 910 1 910 1 910 910 910 910 910 910 910 910 910 910 910 910 910 910 910 910
920 920 10 920 920 920 920 1 920 1 920 1 920 920 920 920 920 920 920 920 1 920 1 920 1 920 1 920 920 920 920 920 920 920 920 920 920 920 920 920 920 920 920
930 930 10 930 930 930 930 1 930 1 930 1 930 930 930 930 930 930 930 930 1 930 1 930 1 930 1 930 930 930 930 930 930 930 930 930 930 930 930 930 930 930 930
940 940 10 940 940 940 940 1 940 1 940 1 940 940 940 940 940 940 940 940 1 940 1 940 1 940 1 940 940 940 940 940 940 940 940 940 940 940 940 940 940 940 940
950 950 10 950 950 950 950 1 950 1 950 1 950 950 950 950 950 950 950 950 1 950 1 950 1 950 1 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950 950
960 960 10 960 960 960 960 1 960 1 960 1 960 960 960 960 960 960 960 960 1 960 1 960 1 960 1 960 960 960 960 960 960 960 960 960 960 960 960 960 960 960 960
970 970 10 970 970 970 970 1 970 1 970 1 970 970 970 970 970 970 970 970 1 970 1 970 1 970 1 970 970 970 970 970 970 970 970 970 970 970 970 970 970 970 970
980 980 10 980 980 980 980 1 980 1 980 1 980 980 980 980 980 980 980 980 1 980 1 980 1 980 1 980 980 980 980 980 980 980 980 980 980 980 980 980 980 980 980
990 990 10 990 990 990 990 1 990 1 990 1 990 990 990 990 990 990 990 990 1 990 1 990 1 990 1 990 990 990 990 990 990 990 990 990 990 990 990 990 990 990 990
1000 1000 10 1000 1000 1000 1000 1 1000 1 1000 1 1000 1000 1000 1000 1000 1000 1000 1000 1 1000 1 1000 1 1000 1 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
